FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2025M9,Sep-2025,2022,210669.6,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2025M9,Sep-2025,2023,214045.2,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2025M9,Sep-2025,2024,213346.7,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2016,198537.9,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2017,200531.6,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2018,202858.4,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2019,201661.6,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2020,200974,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2021,209590,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2022,210669.6,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
