TIME_PERIOD,compensation_euros,gross_value_added_euros,WB_CCDFS_AVGLIFE,WB_CCDFS_CBY,WB_CCDFS_DEBTDUEY,WB_CCDFS_DFFB,WB_CCDFS_DFGGD,WB_CCDFS_FBMA,WB_CCDFS_FBY,WB_CCDFS_FORDEBTSH,WB_CCDFS_FXSOVSH,WB_CCDFS_GGDMA,WB_CCDFS_GGDY,WB_CCDFS_PBY,WB_CCDFS_PRDEBTY,WB_CCDFS_PSCY,WB_CCDFS_SECNRES,WB_CCDFS_SOVRATE,WB_CCDFS_STDEBTALL,WB_CCDFS_STDEBTRES,WB_CCDFS_XTDEBTRES,WB_CCDFS_XTDEBTRXG,WB_CCDFS_XTDEBTY
2015,,1663277.7,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,1285611.9,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,924949.1,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,546166.2,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,124970.1,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,67155.9,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,4619.5,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,10293.4,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,17631.5,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,5348.5,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,11551.0,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,4652.9,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,3717.5,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,4649.3,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,4649.3,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
2015,,46792.0,6.402739726027397,-1.700162835417636,19.52672009233349,-9.009314101035349,477.5819047422268,-2.613767822991744,-2.552,33.5340144312705,0.1554170907402564,138.5552997108723,135.281,1.382,57.50807834191701,119.0,1.675578064339839,13.0,28.01719241839377,485.2765454637092,1732.067004490845,4809.208672993573,123.1448068945242
